date,lat,lon,gps,pressur,speed,external,internal,o-date,o-lat,o-lon,o-gpsalt,o-pressurealt,o-speed,o-externaltemp,o-internaltemp
1440692287380.9524,52.171557142857125,11.703628571428567,41.20476190476192,61.47285714285716,0.04571428571428572,21.48285714285715,27.613467261904763,1440692287380.9524,52.171557142857125,11.703628571428567,41.20476190476192,61.47285714285716,0.15761904761904763,21.48285714285715,27.706473214285715
1440692306296.2964,52.17000000000001,11.699999999999996,41.70740740740741,64.59407407407406,0.44925925925925925,21.363703703703703,27.528211805555557,1440692306296.2964,52.17000000000001,11.699999999999996,41.70740740740741,64.59407407407406,0.44925925925925925,21.363703703703703,27.709056712962962
1440692329833.3333,52.17000000000002,11.71019333333333,73.4361111111111,110.01222222222223,21.21916666666667,21.1375,27.56890190972222,1440692329833.3333,52.1740866666667,11.71019333333333,73.4361111111111,110.01222222222223,21.21916666666667,21.1375,27.69097222222222
1440692344594.5945,52.17166108108104,11.71519513513513,171.32432432432432,189.71081081081084,24.93216216216215,20.986216216216224,27.59712837837838,1440692344594.5945,52.17503945945942,11.709409729729726,171.32432432432432,189.71081081081084,29.45378378378377,20.986216216216224,27.82147381756757
1440692370111.111,52.17428555555554,11.715139999999998,260.57777777777767,270.70370370370364,19.798518518518513,20.794814814814817,27.63671875,1440692370111.111,52.17428555555554,11.701112592592587,260.57777777777767,270.70370370370364,19.94962962962962,20.794814814814817,27.69097222222222
1440692385370.3704,52.172883333333374,11.71508,320.2148148148148,323.7833333333333,18.372962962962973,20.642592592592592,27.63671875,1440692385370.3704,52.172883333333374,11.714910000000005,320.2148148148148,323.7833333333333,17.394814814814826,20.642592592592592,27.69097222222222
1440692407148.1482,52.17234629629628,11.714954814814812,404.4444444444444,408.2144444444445,15.38074074074074,20.47555555555555,27.63671875,1440692407148.1482,52.17234629629628,11.714820370370367,404.4444444444444,408.2144444444445,10.853703703703697,20.47555555555555,28.016493055555557
1440692427464.2856,52.172071428571414,11.714901428571434,484.00999999999993,485.62107142857127,7.616428571428573,20.248928571428575,27.63671875,1440692427464.2856,52.172071428571414,11.714901428571434,484.00999999999993,485.62107142857127,4.2478571428571446,20.248928571428575,27.723911830357142
1440692444937.5,52.17207999999999,11.714551562500004,556.20625,553.2846875,8.674062500000005,20.038125000000004,27.63671875,1440692444937.5,52.17187749999997,11.714551562500004,556.20625,553.2846875,8.618125000000004,20.038125000000004,27.8656005859375
1440692467947.3684,52.17218105263159,11.714402105263156,637.0631578947368,639.2952631578945,7.964736842105265,19.779999999999998,27.63671875,1440692467947.3684,52.17218105263159,11.714402105263156,637.0631578947368,639.2952631578945,7.447894736842108,19.779999999999998,28.125
1440692488913.0435,52.17258586956526,11.714326739130442,744.3565217391301,742.6960869565216,19.069347826086954,19.591086956521735,27.838400135869566,1440692488913.0435,52.17258586956526,11.714326739130442,744.3565217391301,742.6960869565216,18.85586956521739,19.591086956521735,28.018851902173914
1440692512074.074,52.17291703703704,11.714372962962964,833.4962962962958,818.0703703703709,25.292222222222236,19.4062962962963,28.016493055555557,1440692512074.074,52.17291703703704,11.71331148148148,833.4962962962958,818.0703703703709,26.41703703703704,19.4062962962963,27.962239583333332
